index,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year
404,S,Tehachapi High,Tehachapi Unified,Kern,293,118,519,514,490,62,52.54,1516
405,D,,Wasco Union High,Kern,409,94,441,453,425,18,19.15,1516
406,S,Wasco High,Wasco Union High,Kern,345,94,441,453,425,18,19.15,1516
407,D,,Sierra Sands Unified,Kern,376,98,532,563,520,62,63.27,1516
408,S,Burroughs High,Sierra Sands Unified,Kern,325,98,532,563,520,62,63.27,1516
409,D,,McFarland Unified,Kern,184,120,394,398,382,7,5.83,1516
410,S,McFarland High,McFarland Unified,Kern,171,120,394,398,382,7,5.83,1516
411,D,,El Tejon Unified,Kern,69,16,465,458,442,4,25,1516
412,S,Frazier Mountain High,El Tejon Unified,Kern,69,16,465,458,442,4,25,1516
413,C,,,Kings,2021,539,461,458,451,165,30.61,1516
414,D,,Kings County Office of Education,Kings,55,0,,,,,,1516
415,D,,Armona Union Elementary,Kings,98,10,,,,,,1516
416,S,Crossroads Charter,Armona Union Elementary,Kings,40,1,,,,,,1516
417,S,California Virtual Academy @ Kings,Armona Union Elementary,Kings,58,9,,,,,,1516
418,D,,Corcoran Joint Unified,Kings,206,66,451,438,443,14,21.21,1516
419,S,Corcoran High,Corcoran Joint Unified,Kings,190,66,451,438,443,14,21.21,1516
420,D,,Hanford Joint Union High,Kings,890,246,460,460,448,78,31.71,1516
421,S,Sierra Pacific High,Hanford Joint Union High,Kings,156,46,465,465,459,17,36.96,1516
422,S,Hanford West High,Hanford Joint Union High,Kings,323,112,451,457,442,28,25,1516
423,S,Hanford High,Hanford Joint Union High,Kings,316,88,470,462,450,33,37.5,1516
424,D,,Kit Carson Union Elementary,Kings,74,0,,,,,,1516
425,S,Kings Valley Academy,Kit Carson Union Elementary,Kings,74,0,,,,,,1516
426,D,,Lemoore Union High,Kings,565,171,485,480,471,65,38.01,1516
427,S,Lemoore Middle College High,Lemoore Union High,Kings,65,48,520,492,496,25,52.08,1516
428,S,Lemoore High,Lemoore Union High,Kings,459,123,471,476,462,40,32.52,1516
429,D,,Reef-Sunset Unified,Kings,133,46,383,383,400,3,6.52,1516
430,S,Avenal High,Reef-Sunset Unified,Kings,121,46,383,383,400,3,6.52,1516
431,C,,,Lake,610,180,484,479,465,76,42.22,1516
432,D,,Kelseyville Unified,Lake,133,42,453,443,444,13,30.95,1516
433,S,Kelseyville High,Kelseyville Unified,Lake,128,42,453,443,444,13,30.95,1516
434,D,,Konocti Unified,Lake,192,30,464,435,445,8,26.67,1516
435,S,Konocti Education Center,Konocti Unified,Lake,34,0,,,,,,1516
436,S,Richard H. Lewis Alternative,Konocti Unified,Lake,9,1,,,,,,1516
437,S,Lower Lake High,Konocti Unified,Lake,109,29,464,437,446,8,27.59,1516
438,D,,Lakeport Unified,Lake,98,35,500,507,472,18,51.43,1516
439,S,Clear Lake High,Lakeport Unified,Lake,74,35,500,507,472,18,51.43,1516
440,D,,Middletown Unified,Lake,122,51,512,520,487,28,54.9,1516
441,S,California Connections Academy @ North Bay,Middletown Unified,Lake,9,3,,,,,,1516
442,S,Middletown High,Middletown Unified,Lake,107,48,503,515,477,25,52.08,1516
443,D,,Upper Lake Union High,Lake,62,22,480,468,471,9,40.91,1516
444,S,Upper Lake High,Upper Lake Union High,Lake,57,22,480,468,471,9,40.91,1516
445,C,,,Lassen,409,83,503,496,476,39,46.99,1516
446,D,,Big Valley Joint Unified,Lassen,20,6,,,,,,1516
447,S,Big Valley Jr. Sr. High,Big Valley Joint Unified,Lassen,20,6,,,,,,1516
448,D,,Lassen Union High,Lassen,221,69,499,500,478,34,49.28,1516
